日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2015/7/27",自營商,574143,60266,609609,63595,-35466,-3329,273702,22049,491680,33520,-217978,-11471
"2015/7/27",投信,550,554,887,1042,-337,-488,7973,7368,6876,8664,1097,-1296
"2015/7/27",外資及陸資,177507,98283,181345,91883,-3838,6400,244081,44881,285918,61778,-41837,-16898
"2015/7/28",自營商,456046,46638,463345,47662,-7299,-1024,297594,23159,523163,35607,-225569,-12449
"2015/7/28",投信,1288,1487,561,656,727,831,8188,7455,6325,7916,1863,-461
"2015/7/28",外資及陸資,159560,87404,168569,92079,-9009,-4675,250388,43557,301824,65606,-51436,-22049
"2015/7/29",自營商,614486,62200,615979,59774,-1493,2426,240459,23508,427234,33434,-186775,-9927
"2015/7/29",投信,809,787,484,559,325,228,8444,7663,6322,7875,2122,-212
"2015/7/29",外資及陸資,170018,97129,172864,99563,-2846,-2434,251339,43486,302832,68159,-51493,-24673
"2015/7/30",自營商,461122,54018,420168,52534,40954,1484,272009,23656,417917,32163,-145908,-8506
"2015/7/30",投信,855,850,432,604,423,246,8549,7617,6106,7602,2443,15
"2015/7/30",外資及陸資,155189,88256,142952,78639,12237,9617,264447,48483,303913,63546,-39466,-15063
"2015/7/31",自營商,315147,41986,326171,39393,-11024,2593,280571,23600,437676,29547,-157105,-5947
"2015/7/31",投信,1278,908,473,522,805,386,9183,7702,5926,7287,3257,414
"2015/7/31",外資及陸資,130172,79266,141085,87044,-10913,-7778,259844,45750,310086,68829,-50242,-23079
"2015/8/3",自營商,474746,46458,473853,49500,893,-3042,295009,21538,449894,30223,-154885,-8684
"2015/8/3",投信,887,851,766,1016,121,-165,9289,7469,5938,7224,3351,244
"2015/8/3",外資及陸資,165354,93561,161840,87602,3514,5959,269343,51515,315383,68291,-46040,-16776
"2015/8/4",自營商,559550,52313,553465,59153,6085,-6840,316047,19479,465507,34929,-149460,-15450
"2015/8/4",投信,720,667,819,778,-99,-111,9313,7398,6037,7244,3276,154
"2015/8/4",外資及陸資,182314,100025,172437,95462,9877,4563,277098,51857,313332,64129,-36234,-12272
"2015/8/5",自營商,528238,48227,507091,44532,21147,3695,272041,21626,429009,33509,-156968,-11884
"2015/8/5",投信,905,740,408,423,497,317,9630,7518,5923,7058,3707,460
"2015/8/5",外資及陸資,144438,79614,146798,79998,-2360,-384,273365,49568,315774,62489,-42409,-12921
"2015/8/6",自營商,588699,60657,599979,63185,-11280,-2528,312814,20911,480625,35118,-167811,-14207
"2015/8/6",投信,616,687,641,793,-25,-106,9809,7418,5986,7060,3823,358
"2015/8/6",外資及陸資,166923,94895,175063,102686,-8140,-7791,281893,49666,331224,70385,-49331,-20719
"2015/8/7",自營商,482763,46800,486572,47270,-3809,-470,341781,21771,513581,36481,-171800,-14710
"2015/8/7",投信,671,834,683,852,-12,-18,9945,7730,6170,7378,3775,351
"2015/8/7",外資及陸資,160516,94474,151449,85482,9067,8992,286622,52908,327636,64369,-41014,-11461
"2015/8/10",自營商,423643,51124,429274,46881,-5631,4243,353231,25615,530682,36243,-177451,-10628
"2015/8/10",投信,563,605,468,464,95,141,9987,7924,6147,7400,3840,523
"2015/8/10",外資及陸資,145677,79036,146543,81052,-866,-2016,289215,52355,331536,65810,-42321,-13455
"2015/8/11",自營商,741896,67477,729236,72714,12660,-5237,379432,23992,544192,39563,-164760,-15571
"2015/8/11",投信,1066,1473,695,777,371,696,9961,7834,5672,6623,4289,1211
"2015/8/11",外資及陸資,211977,111253,210677,107053,1300,4200,304207,57354,344933,66490,-40726,-9136
"2015/8/12",自營商,826581,74222,846340,77956,-19759,-3734,328485,23420,491825,42621,-163340,-19202
"2015/8/12",投信,848,1149,858,1152,-10,-3,10016,7772,5698,6597,4318,1175
"2015/8/12",外資及陸資,223861,112934,223959,106966,-98,5968,306702,54352,337245,57525,-30543,-3173
"2015/8/13",自營商,422711,52823,450664,48032,-27953,4791,354089,26161,545549,40626,-191460,-14465
"2015/8/13",投信,1587,2170,1383,2006,204,164,10020,7822,5504,6468,4516,1354
"2015/8/13",外資及陸資,156892,81388,153084,88582,3808,-7194,313532,48020,340649,58833,-27117,-10813
"2015/8/14",自營商,332713,41750,326892,45253,5821,-3503,380430,25910,566189,43941,-185759,-18031
"2015/8/14",投信,1531,2192,1355,2065,176,127,10080,7938,5505,6455,4575,1482
"2015/8/14",外資及陸資,108488,63560,103280,57965,5208,5595,319981,46100,341573,51214,-21592,-5114
"2015/8/17",自營商,350935,52816,373521,52339,-22586,477,373483,25132,581062,42376,-207579,-17244
"2015/8/17",投信,4937,5079,5013,5083,-76,-4,10054,7809,5474,6344,4580,1465
"2015/8/17",外資及陸資,134369,92562,136812,97217,-2443,-4655,324422,48606,347547,58526,-23125,-9920
"2015/8/18",自營商,421553,61926,437397,61450,-15844,476,372466,24676,596142,41104,-223676,-16428
"2015/8/18",投信,5027,4730,5177,4975,-150,-245,10015,7601,5579,6439,4436,1163
"2015/8/18",外資及陸資,166508,107943,159228,103231,7280,4712,340424,56683,356332,62103,-15908,-5420
"2015/8/19",自營商,737304,90933,776132,92937,-38828,-2004,187465,15722,286191,27982,-98726,-12260
"2015/8/19",投信,2745,1810,3037,2393,-292,-583,9306,7371,5512,6706,3794,665
"2015/8/19",外資及陸資,178806,98691,172054,91102,6752,7589,226154,42286,226284,46510,-130,-4224
"2015/8/20",自營商,501940,50663,492933,50936,9007,-273,249311,16895,338769,29255,-89458,-12361
"2015/8/20",投信,759,763,782,801,-23,-38,9377,7420,5627,6807,3750,613
"2015/8/20",外資及陸資,213972,112577,210322,104335,3650,8242,247361,50332,244551,47075,2810,3257
"2015/8/21",自營商,557743,49205,569594,55110,-11851,-5905,293857,17172,395348,34966,-101491,-17795
"2015/8/21",投信,649,657,1151,1203,-502,-546,9371,7199,6171,7160,3200,39
"2015/8/21",外資及陸資,192612,103989,203304,96780,-10692,7209,262394,56141,270509,46760,-8115,9382
"2015/8/24",自營商,954699,147020,930832,151049,23867,-4029,387659,25354,465396,45520,-77737,-20167
"2015/8/24",投信,1774,1787,1864,2119,-90,-332,9821,7209,6810,7561,3011,-351
"2015/8/24",外資及陸資,417248,208562,395934,181906,21314,26656,286330,73618,275375,40144,10955,33473
"2015/8/25",自營商,657465,77170,661375,75335,-3910,1835,407856,25616,489817,45068,-81961,-19452
"2015/8/25",投信,1295,1498,702,732,593,766,9864,7420,6335,7055,3529,365
"2015/8/25",外資及陸資,270342,130440,261913,128708,8429,1732,309172,77773,290756,40753,18416,37020
"2015/8/26",自營商,773677,68620,756720,68554,16957,66,332448,21285,361304,41053,-28856,-19768
"2015/8/26",投信,1115,1008,1217,1141,-102,-133,9498,7139,6120,6918,3378,221
"2015/8/26",外資及陸資,274946,135931,283776,139146,-8830,-3215,300578,76045,286048,41617,14530,34428
"2015/8/27",自營商,335317,51837,330565,49145,4752,2692,361395,24242,385764,41824,-24369,-17581
"2015/8/27",投信,900,599,562,441,338,158,9488,7366,5817,6926,3671,440
"2015/8/27",外資及陸資,171066,96079,182452,98179,-11386,-2100,303162,75855,300746,43446,2416,32409
"2015/8/28",自營商,434091,51599,394243,53347,39848,-1748,415313,25608,399835,45488,15478,-19881
"2015/8/28",投信,546,432,533,458,13,-26,9554,7602,5894,7183,3660,419
"2015/8/28",外資及陸資,205893,102893,206903,96852,-1010,6041,313590,80816,312558,40851,1032,39965
"2015/8/31",自營商,390371,47262,379571,43220,10800,4042,455235,31050,429708,47077,25527,-16027
"2015/8/31",投信,970,1152,976,979,-6,173,9724,8120,6058,7529,3666,591
"2015/8/31",外資及陸資,152668,78827,164526,88154,-11858,-9327,310949,75606,322683,44993,-11734,30613
"2015/9/1",自營商,456208,48125,453291,48627,2917,-502,476268,31302,447645,47393,28623,-16091
"2015/9/1",投信,717,722,1740,1279,-1023,-557,9775,8106,7150,8094,2625,12
"2015/9/1",外資及陸資,207995,108329,220516,109844,-12521,-1515,307598,70807,331714,43187,-24116,27620
"2015/9/2",自營商,658219,60890,643597,60784,14622,106,399217,30023,387323,46527,11894,-16504
"2015/9/2",投信,640,496,1324,1216,-684,-720,9686,8179,7852,8898,1834,-719
"2015/9/2",外資及陸資,215407,123788,205600,115265,9807,8523,304172,73220,316382,36438,-12210,36782
"2015/9/3",自營商,295891,35124,302944,30161,-7053,4963,419598,32669,414974,44446,4624,-11777
"2015/9/3",投信,627,614,676,750,-49,-136,9749,8246,7961,9106,1788,-860
"2015/9/3",外資及陸資,151070,88941,161703,94897,-10633,-5956,307394,72342,330405,41590,-23011,30753
"2015/9/4",自營商,372183,43088,347817,47709,24366,-4621,462558,32133,433335,48319,29223,-16185
"2015/9/4",投信,512,403,968,1068,-456,-665,9702,8002,8346,9525,1356,-1522
"2015/9/4",外資及陸資,179428,112652,184965,107673,-5537,4979,315097,73231,343319,38283,-28222,34947
"2015/9/7",自營商,366861,45122,369600,44394,-2739,728,491287,33914,465108,49539,26179,-15625
"2015/9/7",投信,611,583,890,1127,-279,-544,9637,7889,8581,9953,1056,-2064
"2015/9/7",外資及陸資,184245,102809,180116,100963,4129,1846,319335,73292,344525,36981,-25190,36311
"2015/9/8",自營商,329744,37855,333319,35756,-3575,2099,510103,36403,487654,50208,22449,-13805
"2015/9/8",投信,562,441,482,365,80,76,9602,7893,8475,9864,1127,-1971
"2015/9/8",外資及陸資,152735,80116,157608,79684,-4873,432,323303,76143,353670,39154,-30367,36989
"2015/9/9",自營商,647734,71583,634533,68701,13201,2882,427849,39877,413660,51266,14189,-11389
"2015/9/9",投信,2773,2937,1688,2256,1085,681,9411,8145,7524,9538,1887,-1393
"2015/9/9",外資及陸資,236334,121752,247167,120926,-10833,826,315371,80484,352524,40533,-37153,39951
"2015/9/10",自營商,309640,50395,341231,46294,-31591,4101,425088,38748,442544,45994,-17456,-7246
"2015/9/10",投信,1818,1908,1828,1859,-10,49,9433,8085,7559,9418,1874,-1333
"2015/9/10",外資及陸資,171377,91186,202802,109052,-31425,-17866,314838,71623,382541,50324,-67703,21299
"2015/9/11",自營商,278803,38655,264129,37040,14674,1615,449618,38668,452206,44264,-2588,-5596
"2015/9/11",投信,1910,1923,1846,1792,64,131,9559,8200,7684,9406,1875,-1205
"2015/9/11",外資及陸資,135556,79505,143658,80767,-8102,-1262,314592,69918,390053,49478,-75461,20441
"2015/9/14",自營商,346471,55320,352609,50552,-6138,4768,471793,39691,480163,40494,-8370,-802
"2015/9/14",投信,4595,5910,5163,6160,-568,-250,9301,7994,7812,9424,1489,-1430
"2015/9/14",外資及陸資,180839,117742,183448,121225,-2609,-3483,330769,83987,408639,67024,-77870,16963
"2015/9/15",自營商,345862,49334,328664,53881,17198,-4547,482399,36696,473574,41960,8825,-5264
"2015/9/15",投信,5289,5503,5629,6017,-340,-514,9389,7799,8226,9753,1163,-1955
"2015/9/15",外資及陸資,181147,123761,177647,125670,3500,-1909,337106,85167,410993,70420,-73887,14747
"2015/9/16",自營商,468963,62533,434310,63689,34653,-1156,193832,16210,171603,23984,22229,-7774
"2015/9/16",投信,3244,2539,3013,2413,231,126,9023,7845,7135,9633,1888,-1788
"2015/9/16",外資及陸資,163841,87706,138101,73443,25740,14263,177188,60864,142884,32308,34304,28556
"2015/9/17",自營商,290632,40673,285189,43220,5443,-2547,243957,17273,216315,27730,27642,-10456
"2015/9/17",投信,829,833,552,629,277,204,9324,8343,7228,9996,2096,-1653
"2015/9/17",外資及陸資,157769,88469,148642,83118,9127,5351,196056,65270,153024,30460,43032,34810
"2015/9/18",自營商,238109,31176,251748,28407,-13639,2769,251976,19162,238001,26931,13975,-7769
"2015/9/18",投信,525,442,879,838,-354,-396,9478,8406,7712,10445,1766,-2040
"2015/9/18",外資及陸資,117603,74927,131760,80409,-14157,-5482,194023,61426,164650,32034,29373,29392
"2015/9/21",自營商,336956,38990,340171,40482,-3215,-1492,286455,18752,275109,27846,11346,-9094
"2015/9/21",投信,462,469,898,1141,-436,-672,9433,8107,8058,10758,1375,-2651
"2015/9/21",外資及陸資,145315,74024,154949,77379,-9634,-3355,199849,60135,179267,34830,20582,25305
"2015/9/22",自營商,227465,26085,215306,24577,12159,1508,308795,20218,285447,27945,23348,-7727
"2015/9/22",投信,590,761,446,600,144,161,9665,8554,8206,11066,1459,-2512
"2015/9/22",外資及陸資,98470,58466,94811,51990,3659,6476,207656,63093,183657,30870,23999,32223
"2015/9/23",自營商,486715,44192,504889,48169,-18174,-3977,262113,17375,243231,29115,18882,-11739
"2015/9/23",投信,441,386,1117,1390,-676,-1004,9487,8193,8668,11640,819,-3447
"2015/9/23",外資及陸資,125131,60819,131821,63831,-6690,-3012,205979,61737,176386,33195,29593,28541
"2015/9/24",自營商,356276,43509,360830,43526,-4554,-17,303730,18109,289257,29464,14473,-11355
"2015/9/24",投信,512,548,1096,1376,-584,-828,9368,7900,9040,12148,328,-4248
"2015/9/24",外資及陸資,164547,90913,172111,88299,-7564,2614,215980,62298,193571,31271,22409,31027
"2015/9/25",自營商,325281,39968,322369,38548,2912,1420,330936,19665,313718,29745,17218,-10081
"2015/9/25",投信,599,450,1206,1544,-607,-1094,9316,7749,9646,13114,-330,-5366
"2015/9/25",外資及陸資,172292,101579,179990,98849,-7698,2730,219697,62788,205139,28797,14558,33991
"2015/9/30",自營商,489184,52489,481993,52241,7191,248,285973,19742,281892,29771,4081,-10030
"2015/9/30",投信,741,668,728,868,13,-200,9231,7753,9730,13338,-499,-5584
"2015/9/30",外資及陸資,176703,94184,180621,90741,-3918,3443,221889,67449,202080,29920,19809,37529
"2015/10/1",自營商,404438,53429,396842,50928,7596,2501,324371,24235,312783,32145,11588,-7909
"2015/10/1",投信,1150,1298,566,721,584,577,9323,8006,9403,13131,-80,-5125
"2015/10/1",外資及陸資,186318,98294,189514,97276,-3196,1018,230957,69097,215187,29563,15770,39534
"2015/10/2",自營商,218542,24712,217379,26331,1163,-1619,331885,22969,319044,32451,12841,-9482
"2015/10/2",投信,465,541,656,866,-191,-325,9253,7788,9503,13219,-250,-5431
"2015/10/2",外資及陸資,98047,61573,109184,66903,-11137,-5330,229284,63570,224132,29604,5152,33966
"2015/10/5",自營商,313997,33034,302164,29190,11833,3844,349002,26085,323770,31896,25232,-5811
"2015/10/5",投信,685,661,731,755,-46,-94,9231,7750,9551,13305,-320,-5556
"2015/10/5",外資及陸資,139309,82933,146442,85224,-7133,-2291,232360,61589,233796,29851,-1436,31737
"2015/10/6",自營商,414254,44088,384586,43968,29668,120,391224,25971,335003,31756,56221,-5785
"2015/10/6",投信,491,503,568,650,-77,-147,9257,7802,9609,13526,-352,-5725
"2015/10/6",外資及陸資,156339,88562,164174,87138,-7835,1424,237887,63056,246888,29542,-9001,33514
"2015/10/7",自營商,471431,45320,447649,44173,23782,1147,329431,27114,292488,31940,36943,-4826
"2015/10/7",投信,713,666,557,529,156,137,9301,8182,9727,13840,-426,-5657
"2015/10/7",外資及陸資,139897,84129,139092,75881,805,8248,238281,71100,236880,28380,1401,42720
"2015/10/8",自營商,378167,39045,383472,41552,-5305,-2507,350577,24706,318715,31989,31862,-7284
"2015/10/8",投信,681,666,845,962,-164,-296,9527,8288,10039,14229,-512,-5941
"2015/10/8",外資及陸資,154792,86973,169774,89486,-14982,-2513,240154,67678,252898,27919,-12744,39759
"2015/10/12",自營商,429222,45780,399317,44448,29905,1332,398232,29622,336579,35662,61653,-6040
"2015/10/12",投信,582,492,811,1088,-229,-596,9525,8253,10311,14847,-786,-6595
"2015/10/12",外資及陸資,145975,78025,143672,74764,2303,3261,251958,72849,262586,28570,-10628,44279
"2015/10/13",自營商,293438,33782,307291,34099,-13853,-317,403801,29142,355975,35690,47826,-6548
"2015/10/13",投信,676,496,756,577,-80,-81,9671,8402,10522,15084,-851,-6682
"2015/10/13",外資及陸資,98679,58841,107170,62174,-8491,-3333,246767,69389,265400,28413,-18633,40976
"2015/10/14",自營商,383098,37539,378649,39503,4449,-1964,355659,25455,308414,34088,47245,-8634
"2015/10/14",投信,696,485,937,785,-241,-300,9458,8295,10583,15252,-1125,-6957
"2015/10/14",外資及陸資,114000,71304,116169,71735,-2169,-431,238404,69298,252679,29168,-14275,40130
"2015/10/15",自營商,411034,56396,392354,57931,18680,-1535,387789,25472,321316,35734,66473,-10262
"2015/10/15",投信,2378,3317,2245,3173,133,144,9554,8432,10570,15314,-1016,-6882
"2015/10/15",外資及陸資,157993,88270,153667,86645,4326,1625,254731,74950,264641,32547,-9910,42402
"2015/10/16",自營商,248117,37690,261385,35255,-13268,2435,394198,26586,340454,34474,53744,-7888
"2015/10/16",投信,2634,3645,2739,3785,-105,-140,9545,8297,10654,15313,-1109,-7015
"2015/10/16",外資及陸資,97607,57975,99949,63675,-2342,-5700,257086,71258,269302,34688,-12216,36570
"2015/10/19",自營商,295679,50476,308091,46534,-12412,3942,419392,29405,377253,33208,42139,-3803
"2015/10/19",投信,4214,5926,4271,6052,-57,-126,9640,8385,10800,15548,-1160,-7164
"2015/10/19",外資及陸資,126729,91949,125373,92080,1356,-131,264063,78776,274778,41935,-10715,36841
"2015/10/20",自營商,247460,36873,226317,37905,21143,-1032,428978,27607,365363,32580,63615,-4973
"2015/10/20",投信,7664,10427,8674,11184,-1010,-757,8967,8129,11098,16082,-2131,-7953
"2015/10/20",外資及陸資,103150,81532,96967,80572,6183,960,274404,84922,279038,46921,-4634,38001
"2015/10/21",自營商,419169,61414,423277,69605,-4108,-8191,140299,11661,160755,22389,-20456,-10728
"2015/10/21",投信,2041,889,2161,1476,-120,-587,8515,8029,10769,16505,-2254,-8475
"2015/10/21",外資及陸資,95204,57369,96434,62366,-1230,-4997,190982,65028,145717,30950,45265,34078
"2015/10/22",自營商,184687,25643,178066,26927,6621,-1284,173533,12437,187812,24555,-14279,-12118
"2015/10/22",投信,441,400,526,616,-85,-216,8651,8101,11014,16769,-2363,-8668
"2015/10/22",外資及陸資,92259,59584,84213,49681,8046,9903,200374,70508,147501,26603,52873,43906
"2015/10/23",自營商,294796,35470,295954,33253,-1158,2217,198131,14980,213567,25153,-15436,-10174
"2015/10/23",投信,589,625,1910,3022,-1321,-2397,7350,5786,11040,16954,-3690,-11168
"2015/10/23",外資及陸資,96170,55406,103138,59449,-6968,-4043,201765,68957,155576,28395,46189,40562
"2015/10/26",自營商,205235,26250,204772,23874,463,2376,214204,16450,229030,24386,-14826,-7936
"2015/10/26",投信,430,568,257,298,173,270,7452,5889,10945,16840,-3493,-10951
"2015/10/26",外資及陸資,78981,45029,78366,43380,615,1649,210906,72030,163777,29252,47129,42777
"2015/10/27",自營商,288870,33613,302784,33235,-13914,378,232765,18128,261347,25724,-28582,-7597
"2015/10/27",投信,380,354,478,574,-98,-220,7501,5869,11092,16988,-3591,-11119
"2015/10/27",外資及陸資,88757,53173,95902,58187,-7145,-5014,215723,70083,175296,32542,40427,37541
"2015/10/28",自營商,407791,40274,412413,41566,-4622,-1292,185291,17170,227776,25981,-42485,-8812
"2015/10/28",投信,500,533,697,787,-197,-254,7155,5613,11028,16919,-3873,-11306
"2015/10/28",外資及陸資,102721,58976,109021,64285,-6300,-5309,214636,65274,169912,33410,44724,31865
"2015/10/29",自營商,359967,43746,363724,42914,-3757,832,217238,19236,263428,27090,-46190,-7854
"2015/10/29",投信,456,481,628,767,-172,-286,7179,5608,11221,17074,-4042,-11465
"2015/10/29",外資及陸資,130399,77270,137892,76443,-7493,827,226971,68005,189448,35749,37523,32256
"2015/10/30",自營商,411577,44821,414185,46096,-2608,-1275,224502,17036,273982,26169,-49480,-9133
"2015/10/30",投信,560,558,687,862,-127,-304,7175,5517,11353,17320,-4178,-11802
"2015/10/30",外資及陸資,150192,90444,152678,85319,-2486,5125,236331,72870,201540,35110,34791,37761
"2015/11/2",自營商,289097,34320,288405,32614,692,1706,246789,18849,295976,26421,-49187,-7572
"2015/11/2",投信,300,319,607,445,-307,-126,7246,5551,11746,17512,-4500,-11960
"2015/11/2",外資及陸資,116023,67734,113471,65991,2552,1743,239704,74371,202887,34952,36817,39419
"2015/11/3",自營商,397652,45092,371933,45640,25719,-548,281622,19847,305358,28227,-23736,-8380
"2015/11/3",投信,592,770,336,392,256,378,7330,5745,11616,17516,-4286,-11771
"2015/11/3",外資及陸資,121890,72592,121802,65501,88,7091,245501,79209,209164,31897,36337,47312
"2015/11/4",自營商,677353,65304,669304,60729,8049,4575,235796,23578,266012,27689,-30216,-4112
"2015/11/4",投信,1095,834,607,754,488,80,7279,5853,11230,17751,-3951,-11899
"2015/11/4",外資及陸資,187803,100343,200043,105452,-12240,-5109,239804,80627,211262,37041,28542,43586
"2015/11/5",自營商,283056,29452,300597,29732,-17541,-280,258300,22489,305778,26910,-47478,-4421
"2015/11/5",投信,401,487,494,644,-93,-157,7352,5883,11366,17915,-4014,-12032
"2015/11/5",外資及陸資,99333,61289,109368,66708,-10035,-5419,239844,76171,221025,38110,18819,38061
"2015/11/6",自營商,660445,66053,675197,67494,-14752,-1441,314715,25315,376514,31202,-61799,-5886
"2015/11/6",投信,480,554,1206,1544,-726,-990,7175,5475,11801,18227,-4626,-12752
"2015/11/6",外資及陸資,202642,112953,207499,123647,-4857,-10694,248323,70700,233093,44017,15230,26683
"2015/11/9",自營商,621108,57708,637054,57145,-15946,563,325002,26948,402914,32189,-77912,-5241
"2015/11/9",投信,552,572,777,1126,-225,-554,7090,5243,12025,18451,-4935,-13208
"2015/11/9",外資及陸資,211884,104717,209112,103574,2772,1143,251775,69548,234310,42231,17465,27317
"2015/11/10",自營商,487878,46974,513861,47189,-25983,-215,350073,30471,454170,35939,-104097,-5468
"2015/11/10",投信,660,468,1183,1294,-523,-826,6951,4929,12409,18813,-5458,-13883
"2015/11/10",外資及陸資,163219,79547,159395,82212,3824,-2665,258266,65510,237098,41436,21168,24074
"2015/11/11",自營商,739830,70657,786681,69670,-46851,987,267000,31171,359398,35449,-92398,-4278
"2015/11/11",投信,889,692,1342,1290,-453,-598,6771,4766,12660,18984,-5889,-14218
"2015/11/11",外資及陸資,203817,103982,212989,106695,-9172,-2713,258695,65234,244024,44694,14671,20541
"2015/11/12",自營商,374247,48920,395130,44548,-20883,4372,269006,32511,382354,32231,-113348,281
"2015/11/12",投信,2981,4073,3083,4363,-102,-290,6833,4720,12830,19376,-5997,-14656
"2015/11/12",外資及陸資,163735,94225,161334,88699,2401,5526,264508,67521,247923,41055,16585,26466
"2015/11/13",自營商,471232,59668,481482,65390,-10250,-5722,275027,30412,398341,35781,-123314,-5369
"2015/11/13",投信,3528,5048,3603,5086,-75,-38,6735,4612,12906,19134,-6171,-14522
"2015/11/13",外資及陸資,204360,114232,213274,117718,-8914,-3486,270236,68355,262565,45940,7671,22415
"2015/11/16",自營商,422790,55814,452927,54429,-30137,1385,266982,33517,420619,37446,-153637,-3929
"2015/11/16",投信,4642,6966,4885,6963,-243,3,6797,4600,13190,18997,-6393,-14397
"2015/11/16",外資及陸資,197196,108809,186700,102865,10496,5944,277095,71023,258911,42251,18184,28771
"2015/11/17",自營商,564928,78832,529453,76677,35475,2155,290615,32303,408868,34162,-118253,-1859
"2015/11/17",投信,6497,7499,6090,6805,407,694,6895,4727,12926,18696,-6031,-13969
"2015/11/17",外資及陸資,217486,120959,219020,118612,-1534,2347,281746,80522,265892,49407,15854,31115
"2015/11/18",自營商,516413,68987,533760,71838,-17347,-2851,137095,11959,173865,19148,-36770,-7189
"2015/11/18",投信,2316,1508,2383,1750,-67,-242,6585,4616,12573,18543,-5988,-13926
"2015/11/18",外資及陸資,146561,78284,154469,85622,-7908,-7338,208195,59439,177555,32606,30640,26834
"2015/11/19",自營商,369345,47588,363666,43429,5679,4159,176434,15673,207196,18841,-30762,-3168
"2015/11/19",投信,1118,1406,454,485,664,921,6960,5110,12278,18385,-5318,-13275
"2015/11/19",外資及陸資,158588,94201,156369,87847,2219,6354,214553,62542,182776,28558,31777,33984
"2015/11/20",自營商,300656,34551,306418,34782,-5762,-231,197106,16539,233540,19933,-36434,-3395
"2015/11/20",投信,441,417,341,304,100,113,6973,5171,12287,18327,-5314,-13157
"2015/11/20",外資及陸資,112873,60396,114918,64612,-2045,-4216,219238,60568,189094,30818,30144,29750
"2015/11/23",自營商,312317,37351,311950,35469,367,1882,227518,19316,263348,20852,-35830,-1536
"2015/11/23",投信,543,610,449,501,94,109,7061,5242,12277,18352,-5216,-13109
"2015/11/23",外資及陸資,126833,70991,125968,69686,865,1305,225915,63541,195345,33146,30570,30395
